pipeline,query_id,query,rank,doc_id,similarity,is_relevant,P@5,R@5,RR,preview
A,1,medical image classification,1,18971,0.386325,False,0.0,,0.0,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commission
A,1,medical image classification,2,27781,0.233345,False,0.0,,0.0,❶Press Officer Resume Sample. Based on your requirements and skills you can shuffle these sections i
A,1,medical image classification,3,190,0.228283,False,0.0,,0.0,"This title is a comprehensive account of the key aspects of medical leadership. A highly accessible,"
A,1,medical image classification,4,17794,0.224523,False,0.0,,0.0,Filters the output of 'wp_calculate_image_sizes()'. A source size value for use in a 'sizes' attribu
A,1,medical image classification,5,8370,0.223862,False,0.0,,0.0,"What is a Online Medical Second Opinion? For over 25 years, patients and families have looked to We "
A,2,transformer language model,1,27936,0.281875,False,0.0,,0.0,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of"
A,2,transformer language model,2,25428,0.231423,False,0.0,,0.0,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Ins"
A,2,transformer language model,3,701,0.221527,False,0.0,,0.0,Program in Teaching French as a Foreign Language was established in 1985 under the Department of For
A,2,transformer language model,4,4075,0.219029,False,0.0,,0.0,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We requi"
A,2,transformer language model,5,24482,0.205631,False,0.0,,0.0,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get in"
A,3,deep learning healthcare,1,11979,0.284819,False,0.2,0.5,0.3333,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are wo
A,3,deep learning healthcare,2,9252,0.281802,False,0.2,0.5,0.3333,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit org"
A,3,deep learning healthcare,3,11119,0.260736,True,0.2,0.5,0.3333,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the 
A,3,deep learning healthcare,4,3370,0.214928,False,0.2,0.5,0.3333,These two healthcare REITs are trading for dirt-cheap valuations despite high dividends and a solid 
A,3,deep learning healthcare,5,9229,0.211486,False,0.2,0.5,0.3333,"Influence Health, the healthcare industry’s leading consumer experience solution provider, congratul"
A,4,natural language processing,1,8705,0.347489,False,0.0,0.0,0.0,These regulations may be called the Food Safety and Standards (Food Products Standards and Food Addi
A,4,natural language processing,2,25428,0.304868,False,0.0,0.0,0.0,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Ins"
A,4,natural language processing,3,701,0.291831,False,0.0,0.0,0.0,Program in Teaching French as a Foreign Language was established in 1985 under the Department of For
A,4,natural language processing,4,4075,0.288541,False,0.0,0.0,0.0,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We requi"
A,4,natural language processing,5,24482,0.27089,False,0.0,0.0,0.0,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get in"
A,5,heart attack treatment,1,799,0.419125,True,0.6,1.0,1.0,Can You Have A Heart Attack With A Pacemaker? A pacemaker is not a cure. It will not prevent or stop
A,5,heart attack treatment,2,1422,0.274097,True,0.6,1.0,1.0,I. Causes of Heart Failure: What every physician needs to know. Heart failure (HF) is a clinical syn
A,5,heart attack treatment,3,22876,0.234965,False,0.6,1.0,1.0,"NO BOUNDARIES: Trudie Lobban's advocacy for people afflicted with arrhythmia knows no boundaries, li"
A,5,heart attack treatment,4,16626,0.207316,False,0.6,1.0,1.0,"After failing to apprehend the terrorist behind a Paris attack that claimed dozens of lives, CIA age"
A,5,heart attack treatment,5,25228,0.192907,True,0.6,1.0,1.0,Results of a small clinical trial showing the benefits of a new pill to treat high blood pressure ha
A,6,electric car battery,1,8618,0.349229,False,0.0,0.0,0.0,You can extend the life of your scooter's battery if you take proper care of it. Most people report 
A,6,electric car battery,2,2183,0.347489,False,0.0,0.0,0.0,"After removing the 2 screws, pull out the battery. The battery is connected to the motherboard on th"
A,6,electric car battery,3,1924,0.331887,False,0.0,0.0,0.0,"People often think that they need to buy it to use the car, but today, despite the car rental indust"
A,6,electric car battery,4,14059,0.31038,False,0.0,0.0,0.0,The Latest in Electric Skateboards in Biddeford. Use coupon code Biddeford2017 to receive a $10 disc
A,6,electric car battery,5,15853,0.298206,False,0.0,0.0,0.0,Why does my battery drain fast when I'm not using the device? Whenever I wake my Transformer up afte
A,7,home mortgage interest rates,1,12912,0.431009,True,1.0,0.5555555555555556,1.0,"For a first-time home buyer interested in building wealth, the rent versus buy decision is often con"
A,7,home mortgage interest rates,2,14813,0.422652,True,1.0,0.5555555555555556,1.0,What not to do when you about to get a mortgage approval. What not to do when you about to get a mor
A,7,home mortgage interest rates,3,16873,0.364371,True,1.0,0.5555555555555556,1.0,"We offer a number of products. When purchasing the home of your dreams, adding real estate to your i"
A,7,home mortgage interest rates,4,7794,0.363084,True,1.0,0.5555555555555556,1.0,"Additionally, Freddie Mac’s most recent Economic Commentary & Projections Table predicts that the 30"
A,7,home mortgage interest rates,5,13866,0.356227,True,1.0,0.5555555555555556,1.0,"MY LENDERS - MORTGAGES BY SARAH COLUCCI, NEWMARKET AND NEW TECUMSETH MORTGAGE BROKER, ACCESS THE LOW"
A,8,dog training tips,1,7024,0.439074,False,0.4,1.0,0.5,"When you're in the mood for a piece of unique, artisan dog breed jewelry, fetch For Love of a Dog. Y"
A,8,dog training tips,2,1987,0.39862,True,0.4,1.0,0.5,Would you love to work with us but you live outside of Southern California? Thanks to the magic of t
A,8,dog training tips,3,8413,0.38636,True,0.4,1.0,0.5,"Making the commitment to own a dog is not to be taken lightly, intelligent, loving and loyal, dogs b"
A,8,dog training tips,4,12738,0.358208,False,0.4,1.0,0.5,"These days we live, sleep, and eat with our dogs, in the same house. We share the same air space, ev"
A,8,dog training tips,5,13901,0.345981,False,0.4,1.0,0.5,"Whether you’re alone, have a partner, or have a family of your own, a pet can complete your househol"
B,1,medical image classification,1,18971,0.424403,False,0.0,,0.0,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commission
B,1,medical image classification,2,8527,0.353664,False,0.0,,0.0,History of maize classification. How races used in classification. Geographical distribution. Existi
B,1,medical image classification,3,19908,0.260917,False,0.0,,0.0,Download League Of Legends Wallpapers in high-quality for your desktop and smart-phone in wide-scree
B,1,medical image classification,4,17794,0.259565,False,0.0,,0.0,Filters the output of 'wp_calculate_image_sizes()'. A source size value for use in a 'sizes' attribu
